virus	virusid	host	hostid	coronavirus
kobuvirus bamboo rat	27705979	rhizomys pruinosus	3483188	0
kodoko virus	3879777	mus minutoides	3434391	0
koolpinyah ephemerovirus	27314316	bos taurus	3434101	0
korf virus	26302956	sorex isodon	3499115	0
kowari adenovirus	27501722	dasyuroides byrnei	3448412	0
kuhl's pipistrelle adenovirus 1	27589147	pipistrellus kuhlii	3494218	0
kumasi ledantevirus	27310744	eidolon helvum	3524418	0
kyasanur forest disease virus	3449682	bos taurus	3434101	0
kyasanur forest disease virus	3449682	cynopterus sphinx	3433241	0
kyasanur forest disease virus	3449682	homo sapiens	3433574	0
kyasanur forest disease virus	3449682	hystrix indica	3664064	0
kyasanur forest disease virus	3449682	macaca radiata	3433489	0
kyasanur forest disease virus	3449682	ovis aries	3434136	0
kyasanur forest disease virus	3449682	rattus rattus	3434407	0
kyasanur forest disease virus	3449682	rousettus leschenaultii	3433257	0
kyasanur forest disease virus	3449682	semnopithecus entellus	3543630	0
lagenorhynchus alphaherpesvirus 1	27246142	lagenorhynchus obliquidens	3547503	0
lagos bat lyssavirus	3457970	atilax paludinosus	3680425	0
lagos bat lyssavirus	3457970	canis lupus familiaris	3433584	0
lagos bat lyssavirus	3457970	eidolon dupreanum	3491728	0
lagos bat lyssavirus	3457970	eidolon helvum	3524418	0
lagos bat lyssavirus	3457970	epomophorus gambianus	3823262	0
lagos bat lyssavirus	3457970	epomophorus wahlbergi	3491736	0
lagos bat lyssavirus	3457970	felis catus	3433706	0
lagos bat lyssavirus	3457970	homo sapiens	3433574	0
lagos bat lyssavirus	3457970	myonycteris torquata	3524469	0
lagos bat lyssavirus	3457970	rousettus aegyptiacus	3433255	0
laguna negra orthohantavirus	3497225	akodon simulator	3923635	0
laguna negra orthohantavirus	3497225	calomys callidus	3861706	0
laguna negra orthohantavirus	3497225	calomys callosus	3488487	0
laguna negra orthohantavirus	3497225	calomys fecundus	3633961	0
laguna negra orthohantavirus	3497225	calomys laucha	3488489	0
laguna negra orthohantavirus	3497225	homo sapiens	3433574	0
laguna negra orthohantavirus	3497225	mesocricetus brandti	3434287	0
laguna negra orthohantavirus	3497225	oligoryzomys nigripes	3454993	0
laibin mobatvirus	26205102	taphozous melanopogon	3658566	0
lamb pestivirus	26532000	ovis aries	3434136	0
lambdaarterivirus afriporav	2499621	cricetomys emini	3577493	0
lambdapapillomavirus 1	3653605	acinonyx jubatus	3448402	0
lambdapapillomavirus 1	3653605	felis catus	3433706	0
lambdapapillomavirus 1	3653605	lynx rufus	3497561	0
lambdapapillomavirus 1	3653605	panthera leo	3433712	0
lambdapapillomavirus 1	3653605	panthera uncia	3443305	0
lambdapapillomavirus 1	3653605	puma concolor	3433725	0
lambdapapillomavirus 2	3452148	canis latrans	3433582	0
lambdapapillomavirus 2	3452148	canis lupus	3433580	0
lambdapapillomavirus 2	3452148	canis lupus familiaris	3433584	0
lambdapapillomavirus 4	27856732	enhydra lutris	3451577	0
lambdapapillomavirus 4	27856732	procyon lotor	3433651	0
langat virus	3435886	homo sapiens	3433574	0
langat virus	3435886	mus musculus	3434366	0
langat virus	3435886	rattus muelleri	22683405	0
lassa mammarenavirus	3436481	cavia porcellus	3434442	0
lassa mammarenavirus	3436481	homo sapiens	3433574	0
lassa mammarenavirus	3436481	hylomyscus pamfi	4199276	0
lassa mammarenavirus	3436481	lemniscomys striatus	3598977	0
lassa mammarenavirus	3436481	macaca fascicularis	3433477	0
lassa mammarenavirus	3436481	macaca mulatta	3433483	0
lassa mammarenavirus	3436481	mastomys erythroleucus	3462326	0
lassa mammarenavirus	3436481	mastomys natalensis	3434397	0
lassa mammarenavirus	3436481	mus baoulei	3973885	0
lassa mammarenavirus	3436481	mus minutoides	3434391	0
lassa mammarenavirus	3436481	praomys daltoni	3434399	0
lassa mammarenavirus	3436481	praomys rostratus	3916807	0
latino mammarenavirus	3469112	calomys callidus	3861706	0
latino mammarenavirus	3469112	calomys callosus	3488487	0
le dantec ledantevirus	3774956	homo sapiens	3433574	0
lebombo virus	22683139	homo sapiens	3433574	0
lemur adenovirus	2301506	eulemur rufifrons	24564527	0
lemur smacovirus	27342242	lemur catta	3433321	0
leopards hill virus	26532004	hipposideros gigas	4004754	0
